method,method_label,n_runs,targets_successful,targets_attempted,target_success_pct,target_success_ci95_low,target_success_ci95_high,mission_completion_pct,mission_completion_ci95_low,mission_completion_ci95_high,return_home_pct,return_home_ci95_low,return_home_ci95_high,actual_path_m_mean,actual_path_m_sd,navigation_time_s_mean,navigation_time_s_sd,replans_per_run_mean,replans_per_run_sd,recoveries_per_run_mean,recoveries_per_run_sd
B1,Direct-to-target,30,53,90,58.88888888888888,48.888888888888886,70.0,16.666666666666664,7.336542371848551,33.56435050641603,33.33333333333333,19.23049808367613,51.21994835545616,4.509288033278867,3.9085600362450728,23.416666666666668,15.726945055104744,0.0,0.0,0.0,0.0
B2,Single-candidate,30,0,90,0.0,0.0,0.0,0.0,0.0,11.351339317396876,43.333333333333336,27.37748557646652,60.80269299918639,6.347446733453236,2.634091366465788,,,0.0,0.0,0.0,0.0
B3,No persistent management,30,70,90,77.77777777777777,68.8888888888889,85.55555555555557,36.66666666666666,21.873920806100703,54.48643634520512,46.66666666666666,30.232388907699757,63.8577003801267,8.037122568045493,2.787928297957588,6.308333333333335,7.38255003499178,3.8333333333333335,1.2887666740841357,0.4,0.8944271909999159
P,Proposed (PSAC-MM),30,85,90,94.44444444444444,89.99999999999999,98.88888888888889,40.0,24.59062811680185,57.67963974667752,43.333333333333336,27.37748557646652,60.80269299918639,10.044173521482216,1.482040447487899,5.760000000000002,4.395359796360658,4.7,1.9502431324996556,0.8333333333333334,2.069204966986668
