method,method_label,n_runs,mission_completion_pct,target_success_pct,path_length_mean_m,path_length_sd_m,navigation_time_mean_s,navigation_time_sd_s,approach_error_mean_m,approach_error_sd_m,replans_per_run_mean,replans_per_run_sd,recoveries_per_run_mean,recoveries_per_run_sd
B1,Direct-to-target,30,16.666666666666664,58.888888888888886,,,23.416666666666668,15.726945055104743,1.090327414051841,0.020840757922277003,0.0,0.0,0.0,0.0
B2,Single-candidate,30,0.0,0.0,6.574803434811878,2.737298254024936,,,,,0.0,0.0,0.0,0.0
B3,Sequential / No Persistent Target Management,30,36.666666666666664,77.77777777777777,3.3567822712760647,3.3113337446257334,6.308333333333335,7.38255003499178,1.1146841997180181,0.01541283786016605,3.8333333333333335,1.2887666740841357,0.4,0.8944271909999159
P,Proposed,30,40.0,94.44444444444444,1.6630133308049067,1.916793170563162,5.760000000000001,4.395359796360658,1.115324261044582,0.009510199623779721,4.7,1.9502431324996554,0.8333333333333334,2.069204966986668
