run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit
P2_S1_B1_seed1001,S1,B1,1001,3,0.0025656134515690794,-5.771910925634972e-05,0.0025656134515690794,-5.771910925634972e-05,12.2,207.0,True,True,False,0,unknown
P2_S1_B1_seed1002,S1,B1,1002,3,0.0026528952473187694,-5.9842478379871876e-05,0.0026528952473187694,-5.9842478379871876e-05,12.9,223.5,False,True,False,0,unknown
P2_S1_B1_seed1003,S1,B1,1003,3,0.002566634927045088,-5.7824350930441845e-05,0.002566634927045088,-5.7824350930441845e-05,12.4,134.6,False,False,False,0,unknown
P2_S1_B1_seed1004,S1,B1,1004,3,0.0008927970287684818,-1.991921265933045e-05,0.0008927970287684818,-1.991921265933045e-05,15.8,229.2,False,True,False,0,unknown
P2_S1_B1_seed1005,S1,B1,1005,3,0.0010127527696661527,-2.244289031149683e-05,0.0010127527696661527,-2.244289031149683e-05,13.0,222.5,False,True,False,0,unknown
P2_S1_B1_seed1006,S1,B1,1006,3,0.001011286962240202,-2.247943767448548e-05,0.001011286962240202,-2.247943767448548e-05,12.3,222.0,False,True,False,0,unknown
P2_S1_B1_seed1007,S1,B1,1007,3,0.002504362297469778,-5.6382296838874786e-05,0.002504362297469778,-5.6382296838874786e-05,12.7,227.8,True,True,False,0,unknown
P2_S1_B1_seed1008,S1,B1,1008,3,8.60895816011315e-06,-2.116770892748075e-07,8.60895816011315e-06,-2.116770892748075e-07,11.5,196.6,False,False,False,0,unknown
P2_S1_B1_seed1009,S1,B1,1009,3,0.001001027552304219,-2.2253648244599355e-05,0.001001027552304219,-2.2253648244599355e-05,12.9,199.5,True,True,False,0,unknown
P2_S1_B1_seed1010,S1,B1,1010,3,0.0008309470986605042,-1.8337943756058993e-05,0.0008309470986605042,-1.8337943756058993e-05,12.7,319.9,False,True,False,0,unknown
P2_S1_B2_seed1001,S1,B2,1001,3,0.0010365470871592233,-2.2892506145968688e-05,0.0010365470871592233,-2.2892506145968688e-05,14.7,164.4,False,True,False,0,unknown
P2_S1_B2_seed1002,S1,B2,1002,3,0.0026736375709674296,-6.0392855683714207e-05,0.0026736375709674296,-6.0392855683714207e-05,13.9,286.0,False,True,False,0,unknown
P2_S1_B2_seed1003,S1,B2,1003,3,0.0034158892361498827,-7.789012255801921e-05,0.0034158892361498827,-7.789012255801921e-05,17.1,174.0,False,True,False,0,unknown
P2_S1_B2_seed1004,S1,B2,1004,3,0.0010260338165840417,-2.279886655528161e-05,0.0010260338165840417,-2.279886655528161e-05,12.5,141.7,False,False,False,0,unknown
P2_S1_B2_seed1005,S1,B2,1005,3,0.001031008207230856,-2.2829039301051265e-05,0.001031008207230856,-2.2829039301051265e-05,12.3,167.6,False,True,False,0,unknown
P2_S1_B2_seed1006,S1,B2,1006,3,0.0024987110004970996,-5.619096184976146e-05,0.0024987110004970996,-5.619096184976146e-05,12.0,75.6,False,False,False,0,unknown
P2_S1_B2_seed1007,S1,B2,1007,3,0.0008053098998070566,-1.7807147454785037e-05,0.0008053098998070566,-1.7807147454785037e-05,12.3,154.8,False,True,False,0,unknown
P2_S1_B2_seed1008,S1,B2,1008,3,0.0008078135526540645,-1.7734357734346137e-05,0.0008078135526540645,-1.7734357734346137e-05,12.6,306.7,False,True,False,0,unknown
P2_S1_B2_seed1009,S1,B2,1009,3,0.0025323896920361635,-5.706112416800042e-05,0.0025323896920361635,-5.706112416800042e-05,12.4,220.5,False,False,False,0,unknown
P2_S1_B2_seed1010,S1,B2,1010,3,1.5894410533435806e-05,-4.6073782830181196e-07,1.5894410533435806e-05,-4.6073782830181196e-07,11.5,156.4,False,True,False,0,unknown
P2_S1_B3_seed1001,S1,B3,1001,3,0.003089292184432826,-7.033224228623791e-05,0.003089292184432826,-7.033224228623791e-05,15.8,129.7,False,False,False,0,unknown
