run_id,scenario,method,target_id,attempt,candidate_id,angle_deg,radius_m,x,y,nav_precheck_safe,uav_safe,planner_feasible,path_length_m,planning_time_s,rejected_reason,selected
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a210,210,1.2,0.9607695154586737,2.4,True,True,True,2.5982584977119902,0.19322607197682373,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a240,240,1.0,1.4999999999999996,2.1339745962155616,True,True,True,2.602031634036085,0.17321696801809594,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a270,270,1.2,1.9999999999999998,1.8,True,True,True,2.6786582306225384,0.16670345998136327,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a210,210,1.0,1.1339745962155614,2.5,True,True,True,2.74531223429477,0.18279826300567947,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a240,240,0.8,1.5999999999999996,2.3071796769724493,True,True,True,2.803764317979718,0.1873583749984391,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a270,270,1.0,1.9999999999999998,2.0,True,True,True,2.816025931651265,0.18745455297175795,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a210,210,0.8,1.307179676972449,2.5999999999999996,True,True,True,2.9198346466490075,0.19231137802125886,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a270,270,0.8,1.9999999999999998,2.2,True,True,True,2.96247563771313,0.2392829989839811,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a180,180,1.2,0.8,3.0,True,True,True,3.1847430226150277,0.21536894000018947,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.21066615998279303,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a180,180,0.8,1.2,3.0,True,True,True,3.2416304739555724,0.21581824598251842,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a300,300,1.2,2.6,1.9607695154586737,True,True,True,3.2493641108315225,0.2184392380004283,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a300,300,1.0,2.5,2.1339745962155616,True,True,True,3.2803082874835803,0.22066148900194094,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a300,300,0.8,2.4000000000000004,2.3071796769724493,True,True,True,3.3238474265494395,0.2496652519912459,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a150,150,0.8,1.3071796769724489,3.4,True,True,True,3.697423411089156,0.34513535001315176,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a150,150,1.0,1.1339745962155612,3.5,True,True,True,3.688042177210573,0.27327065702411346,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a150,150,1.2,0.9607695154586735,3.5999999999999996,True,True,True,3.7664397493190878,0.2571624979900662,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a330,330,0.8,2.6928203230275507,2.5999999999999996,True,True,True,3.7670170039224296,0.2599582399998326,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a330,330,1.0,2.8660254037844384,2.4999999999999996,True,True,True,3.8177101866375125,0.2757276729971636,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a330,330,1.2,3.039230484541326,2.3999999999999995,True,True,True,3.862814351084195,0.28136132401414216,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a000,0,0.8,2.8,3.0,True,True,True,4.198710423429075,0.2922353309986647,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a120,120,1.0,1.5000000000000002,3.866025403784439,True,True,True,4.349087003878647,0.3229289109876845,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a000,0,1.0,3.0,3.0,True,True,True,4.262439227569819,0.4036074969917536,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a120,120,1.2,1.4000000000000004,4.039230484541326,True,True,True,4.307100999716338,0.36384730198187754,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r0.80_a030,30,0.8,2.692820323027551,3.4,True,True,True,4.6843439254528665,0.37206315199728124,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a000,0,1.2,3.2,3.0,True,True,True,4.391661197065614,0.37307082800543867,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a090,90,1.0,2.0,4.0,True,True,True,4.93275588851247,0.49903736999840476,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a030,30,1.0,2.866025403784439,3.5,True,True,True,4.733839035284139,0.3557440580043476,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.00_a060,60,1.0,2.5,3.8660254037844384,True,True,True,5.290531886297779,0.38901936600450426,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a090,90,1.2,2.0,4.2,True,True,True,4.937109901060667,0.3449771770101506,,0
P2_S1_B3_seed1001,S1,B3,"plant@(2.000,3.000)",1,r1.20_a030,30,1.2,3.0392304845413265,3.5999999999999996,True,True,True,4.865006267629385,0.3379966130014509,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a240,240,1.2,11.399999999999999,0.960769515458674,True,True,True,14.244923145502648,0.28460829000687227,,1
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a090,90,1.2,12.0,3.2,True,True,True,16.816757812459418,0.27412757801357657,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a060,60,0.8,12.4,2.6928203230275507,True,True,True,17.31217432905421,0.30880100998911075,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a060,60,1.0,12.5,2.8660254037844384,True,True,True,17.328718434655023,0.297857136989478,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a060,60,1.2,12.6,3.039230484541326,True,True,True,17.03212800687902,0.35608846799004823,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a030,30,0.8,12.69282032302755,2.4,True,True,True,17.826654552400015,0.2672824539768044,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a330,330,0.8,12.69282032302755,1.5999999999999996,True,True,True,17.853391422368688,0.2792428660031874,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a000,0,0.8,12.8,2.0,True,True,True,18.014331826144993,0.2970249589998275,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a030,30,1.0,12.86602540378444,2.5,True,True,True,17.67608792587329,0.29866350401425734,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a330,330,1.0,12.866025403784437,1.4999999999999996,True,True,True,17.570412042963007,0.29515755601460114,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a000,0,1.0,13.0,2.0,True,True,True,18.0462908630043,0.25614397900062613,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a030,30,1.2,13.039230484541326,2.5999999999999996,True,True,True,17.642407911092384,0.2944950240198523,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a330,330,1.2,13.039230484541326,1.3999999999999995,True,True,True,17.474384034181078,0.2933592399931513,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a000,0,1.2,13.2,2.0,True,True,True,17.983828032411424,0.305537517007906,,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a180,180,1.2,10.8,2.0,False,True,False,,0.24574710399610922,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a150,150,1.2,10.960769515458674,2.5999999999999996,False,True,False,,0.24542630100040697,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a210,210,1.2,10.960769515458674,1.4,False,True,False,,0.2956122489995323,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a180,180,1.0,11.0,2.0,False,True,False,,0.2625022069842089,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a150,150,1.0,11.13397459621556,2.5,False,True,False,,0.2424373910180293,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a210,210,1.0,11.13397459621556,1.5,False,True,False,,0.3521561810048297,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a180,180,0.8,11.2,2.0,False,True,False,,0.24749554001027718,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a150,150,0.8,11.30717967697245,2.4,False,True,False,,0.25141036298009567,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a210,210,0.8,11.30717967697245,1.5999999999999999,False,True,False,,0.3258745989878662,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.20_a120,120,1.2,11.4,3.0392304845413265,False,True,False,,0.266082145011751,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a120,120,1.0,11.5,2.866025403784439,False,True,False,,0.31321529299020767,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a240,240,1.0,11.5,1.1339745962155616,False,True,False,,0.30802292699809186,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a120,120,0.8,11.6,2.692820323027551,False,True,False,,0.3333559609891381,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a240,240,0.8,11.6,1.3071796769724493,False,True,False,,0.3464111689827405,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a090,90,0.8,12.0,2.8,False,True,False,,0.2889937880099751,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a090,90,1.0,12.0,3.0,False,True,False,,0.31694105800124817,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r0.80_a270,270,0.8,12.0,1.2,False,True,False,,0.3289241179882083,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(12.000,2.000)",1,r1.00_a270,270,1.0,12.0,1.0,False,True,False,,0.3634985680109821,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a240,240,1.2,14.399999999999999,3.960769515458674,True,True,True,11.285347416982079,0.3042373799835332,,1
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a210,210,1.2,13.960769515458674,4.4,True,True,True,11.903064714701342,0.3321431929944083,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a270,270,1.2,15.0,3.8,True,True,True,11.310803082573818,0.2980965729802847,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a180,180,1.2,13.8,5.0,True,True,True,12.391374256428438,0.24316317497869022,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a180,180,1.0,14.0,5.0,True,True,True,12.568972675786691,0.27276674899621867,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a300,300,1.2,15.6,3.960769515458674,True,True,True,11.719834536332977,0.3087797059852164,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a150,150,1.2,13.960769515458674,5.6,True,True,True,13.023120219401878,0.28209624500595964,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a150,150,1.0,14.13397459621556,5.5,True,True,True,13.023239030108606,0.26626130400109105,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a150,150,0.8,14.30717967697245,5.4,True,True,True,13.222634603558395,0.2827440279943403,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a330,330,0.8,15.69282032302755,4.6,True,True,False,,0.2496502709982451,path_infeasible_under_safety_checks,0
