run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit,targets_attempted,targets_successful,mean_path_length_m,mean_actual_path_length_m,mean_navigation_time_s,mean_total_target_time_s,mean_approach_error_m,mean_planning_time_s,total_replans,total_recoveries,mean_attempt_count,target_success_rate_pct
P2_S1_B1_seed1001,S1,B1,1001,3,0.0025656134515690794,-5.771910925634972e-05,0.0025656134515690794,-5.771910925634972e-05,12.2,207.0,True,True,False,0,unknown,3,3,,7.472397437190176,31.933333333333334,70.46666666666665,1.0786888273555535,,0,0,1.0,100.0
P2_S1_B1_seed1002,S1,B1,1002,3,0.0026528952473187694,-5.9842478379871876e-05,0.0026528952473187694,-5.9842478379871876e-05,12.9,223.5,False,True,False,0,unknown,3,2,,7.39996365037837,37.35,49.75,1.1272904167951396,,0,0,1.0,66.66666666666667
P2_S1_B1_seed1003,S1,B1,1003,3,0.002566634927045088,-5.7824350930441845e-05,0.002566634927045088,-5.7824350930441845e-05,12.4,134.6,False,False,False,0,unknown,3,3,,7.332004038930954,30.83333333333334,69.23333333333333,1.118491024171615,,0,0,1.0,100.0
P2_S1_B1_seed1004,S1,B1,1004,3,0.0008927970287684818,-1.991921265933045e-05,0.0008927970287684818,-1.991921265933045e-05,15.8,229.2,False,True,False,0,unknown,3,2,,7.406921614418816,37.85,50.3,1.0667091705084424,,0,0,1.0,66.66666666666667
P2_S1_B1_seed1005,S1,B1,1005,3,0.0010127527696661527,-2.244289031149683e-05,0.0010127527696661527,-2.244289031149683e-05,13.0,222.5,False,True,False,0,unknown,3,2,,7.373242760243045,37.25000000000001,49.900000000000006,1.1108793934223729,,0,0,1.0,66.66666666666667
P2_S1_B1_seed1006,S1,B1,1006,3,0.001011286962240202,-2.247943767448548e-05,0.001011286962240202,-2.247943767448548e-05,12.3,222.0,False,True,False,0,unknown,3,2,,7.470468230000576,37.3,49.699999999999996,1.0596575985332093,,0,0,1.0,66.66666666666667
P2_S1_B1_seed1007,S1,B1,1007,3,0.002504362297469778,-5.6382296838874786e-05,0.002504362297469778,-5.6382296838874786e-05,12.7,227.8,True,True,False,0,unknown,3,3,,7.3618034466997875,30.766666666666666,68.93333333333334,1.1053818664766897,,0,0,1.0,100.0
P2_S1_B1_seed1008,S1,B1,1008,3,8.60895816011315e-06,-2.116770892748075e-07,8.60895816011315e-06,-2.116770892748075e-07,11.5,196.6,False,False,False,0,unknown,3,3,,7.593444192808103,52.43333333333334,90.2,1.0989603067943436,,0,0,1.0,100.0
P2_S1_B1_seed1009,S1,B1,1009,3,0.001001027552304219,-2.2253648244599355e-05,0.001001027552304219,-2.2253648244599355e-05,12.9,199.5,True,True,False,0,unknown,3,3,,7.413704429746023,31.066666666666666,69.76666666666667,1.0881129690174782,,0,0,1.0,100.0
P2_S1_B1_seed1010,S1,B1,1010,3,0.0008309470986605042,-1.8337943756058993e-05,0.0008309470986605042,-1.8337943756058993e-05,12.7,319.9,False,True,False,0,unknown,3,2,,7.881560091159687,37.75,50.45,1.1186613098797276,,0,0,1.0,66.66666666666667
P2_S1_B2_seed1001,S1,B2,1001,3,0.0010365470871592233,-2.2892506145968688e-05,0.0010365470871592233,-2.2892506145968688e-05,14.7,164.4,False,True,False,0,unknown,3,0,9.75540345257671,9.363414979480712,,,,0.24931113800266758,0,0,1.0,0.0
P2_S1_B2_seed1002,S1,B2,1002,3,0.0026736375709674296,-6.0392855683714207e-05,0.0026736375709674296,-6.0392855683714207e-05,13.9,286.0,False,True,False,0,unknown,3,0,9.744846516175262,10.406768466961594,,,,0.25293657451402396,0,0,1.0,0.0
P2_S1_B2_seed1003,S1,B2,1003,3,0.0034158892361498827,-7.789012255801921e-05,0.0034158892361498827,-7.789012255801921e-05,17.1,174.0,False,True,False,0,unknown,3,0,9.744846516175262,9.542778852357735,,,,0.37115365150384605,0,0,1.0,0.0
P2_S1_B2_seed1004,S1,B2,1004,3,0.0010260338165840417,-2.279886655528161e-05,0.0010260338165840417,-2.279886655528161e-05,12.5,141.7,False,False,False,0,unknown,3,0,9.75540345257671,9.379703766042416,,,,0.2305838100000983,0,0,1.0,0.0
P2_S1_B2_seed1005,S1,B2,1005,3,0.001031008207230856,-2.2829039301051265e-05,0.001031008207230856,-2.2829039301051265e-05,12.3,167.6,False,True,False,0,unknown,3,0,9.744846516175262,9.378867649157533,,,,0.2308017579925945,0,0,1.0,0.0
P2_S1_B2_seed1006,S1,B2,1006,3,0.0024987110004970996,-5.619096184976146e-05,0.0024987110004970996,-5.619096184976146e-05,12.0,75.6,False,False,False,0,unknown,3,0,9.75540345257671,6.7756141668633205,,,,0.22928005349240266,0,0,1.0,0.0
