run_id,scenario,method,seed,targets_successful,targets_attempted,run_success_pct
P2_S3_B2_seed1010,S3,B2,1010,0,3,0.0
P2_S3_B3_seed1001,S3,B3,1001,2,3,66.66666666666667
P2_S3_B3_seed1002,S3,B3,1002,2,3,66.66666666666667
P2_S3_B3_seed1003,S3,B3,1003,2,3,66.66666666666667
P2_S3_B3_seed1004,S3,B3,1004,2,3,66.66666666666667
P2_S3_B3_seed1005,S3,B3,1005,2,3,66.66666666666667
P2_S3_B3_seed1006,S3,B3,1006,2,3,66.66666666666667
P2_S3_B3_seed1007,S3,B3,1007,2,3,66.66666666666667
P2_S3_B3_seed1008,S3,B3,1008,2,3,66.66666666666667
P2_S3_B3_seed1009,S3,B3,1009,2,3,66.66666666666667
P2_S3_B3_seed1010,S3,B3,1010,3,3,100.0
P2_S3_P_seed1001,S3,P,1001,2,3,66.66666666666667
P2_S3_P_seed1002,S3,P,1002,3,3,100.0
P2_S3_P_seed1003,S3,P,1003,3,3,100.0
P2_S3_P_seed1004,S3,P,1004,3,3,100.0
P2_S3_P_seed1005,S3,P,1005,3,3,100.0
P2_S3_P_seed1006,S3,P,1006,3,3,100.0
P2_S3_P_seed1007,S3,P,1007,3,3,100.0
P2_S3_P_seed1008,S3,P,1008,3,3,100.0
P2_S3_P_seed1009,S3,P,1009,3,3,100.0
P2_S3_P_seed1010,S3,P,1010,3,3,100.0
